
### 100 Mbit/s, 100 ms RTT (TTFB 20 ms/object, 8 parallel fetches)

| pair | method | bytes | objects | latency s | transfer s | encode s | apply s | total s |
|---|---|---:|---:|---:|---:|---:|---:|---:|
| v1->v2c | full-zstd-19 (1 object) | 8,432,157 | 1 | 0.12 | 0.67 | 7.78 | 0.03 | 8.60 |
| v1->v2c | full-xz-9 (1 object) | 7,708,160 | 1 | 0.12 | 0.62 | 7.74 | 0.20 | 8.68 |
| v1->v2c | zstd-19 (1 object) | 213,124 | 1 | 0.12 | 0.02 | 15.71 | 0.04 | 15.89 |
| v1->v2c | zstd-22-ultra-long31 (1 object) | 214,255 | 1 | 0.12 | 0.02 | 22.19 | 0.04 | 22.37 |
| v1->v2c | zstd-3-long27 (1 object) | 1,709,819 | 1 | 0.12 | 0.14 | 0.08 | 0.04 | 0.38 |
| v1->v2c | xdelta3-9-lzma (1 object) | 343,972 | 1 | 0.12 | 0.03 | 0.93 | 0.05 | 1.13 |
| v1->v2c | bsdiff (1 object) | 60,478 | 1 | 0.12 | 0.00 | 6.04 | 0.09 | 6.25 |
| v1->v2c | hdiffz-m6-zstd21 (1 object) | 75,305 | 1 | 0.12 | 0.01 | 1.17 | 0.01 | 1.31 |
| v1->v2c | hdiffz-s64-zstd21 (1 object) | 910,116 | 1 | 0.12 | 0.07 | 0.81 | 0.02 | 1.02 |
| v1->v2c | desync CDC 4:16:64 (1176 objects) | 7,805,766 | 1176 | 17.64 | 0.62 | 0.12 | 0.05 | 18.43 |
| v1->v2c | desync CDC 16:64:256 (274 objects) | 7,741,036 | 274 | 4.11 | 0.62 | 0.13 | 0.06 | 4.92 |
| v1->v2c | desync CDC 64:256:1024 (79 objects) | 7,867,354 | 79 | 1.19 | 0.63 | 0.17 | 0.06 | 2.04 |
| v1->v3 | full-zstd-19 (1 object) | 8,432,428 | 1 | 0.12 | 0.67 | 8.20 | 0.03 | 9.02 |
| v1->v3 | full-xz-9 (1 object) | 7,706,308 | 1 | 0.12 | 0.62 | 8.17 | 0.21 | 9.12 |
| v1->v3 | zstd-19 (1 object) | 224,693 | 1 | 0.12 | 0.02 | 15.41 | 0.04 | 15.59 |
| v1->v3 | zstd-22-ultra-long31 (1 object) | 224,272 | 1 | 0.12 | 0.02 | 21.21 | 0.04 | 21.39 |
| v1->v3 | zstd-3-long27 (1 object) | 1,729,597 | 1 | 0.12 | 0.14 | 0.07 | 0.04 | 0.37 |
| v1->v3 | xdelta3-9-lzma (1 object) | 355,317 | 1 | 0.12 | 0.03 | 0.94 | 0.06 | 1.15 |
| v1->v3 | bsdiff (1 object) | 64,902 | 1 | 0.12 | 0.01 | 6.12 | 0.10 | 6.35 |
| v1->v3 | hdiffz-m6-zstd21 (1 object) | 79,879 | 1 | 0.12 | 0.01 | 0.98 | 0.01 | 1.12 |
| v1->v3 | hdiffz-s64-zstd21 (1 object) | 921,720 | 1 | 0.12 | 0.07 | 0.77 | 0.03 | 0.99 |
| v1->v3 | desync CDC 4:16:64 (1191 objects) | 7,834,775 | 1191 | 17.87 | 0.63 | 0.11 | 0.05 | 18.65 |
| v1->v3 | desync CDC 16:64:256 (283 objects) | 7,822,019 | 283 | 4.25 | 0.63 | 0.11 | 0.04 | 5.02 |
| v1->v3 | desync CDC 64:256:1024 (78 objects) | 8,183,325 | 78 | 1.17 | 0.65 | 0.16 | 0.04 | 2.02 |

### 20 Mbit/s, 200 ms RTT (TTFB 20 ms/object, 8 parallel fetches)

| pair | method | bytes | objects | latency s | transfer s | encode s | apply s | total s |
|---|---|---:|---:|---:|---:|---:|---:|---:|
| v1->v2c | full-zstd-19 (1 object) | 8,432,157 | 1 | 0.22 | 3.37 | 7.78 | 0.03 | 11.40 |
| v1->v2c | full-xz-9 (1 object) | 7,708,160 | 1 | 0.22 | 3.08 | 7.74 | 0.20 | 11.24 |
| v1->v2c | zstd-19 (1 object) | 213,124 | 1 | 0.22 | 0.09 | 15.71 | 0.04 | 16.06 |
| v1->v2c | zstd-22-ultra-long31 (1 object) | 214,255 | 1 | 0.22 | 0.09 | 22.19 | 0.04 | 22.54 |
| v1->v2c | zstd-3-long27 (1 object) | 1,709,819 | 1 | 0.22 | 0.68 | 0.08 | 0.04 | 1.02 |
| v1->v2c | xdelta3-9-lzma (1 object) | 343,972 | 1 | 0.22 | 0.14 | 0.93 | 0.05 | 1.34 |
| v1->v2c | bsdiff (1 object) | 60,478 | 1 | 0.22 | 0.02 | 6.04 | 0.09 | 6.37 |
| v1->v2c | hdiffz-m6-zstd21 (1 object) | 75,305 | 1 | 0.22 | 0.03 | 1.17 | 0.01 | 1.43 |
| v1->v2c | hdiffz-s64-zstd21 (1 object) | 910,116 | 1 | 0.22 | 0.36 | 0.81 | 0.02 | 1.41 |
| v1->v2c | desync CDC 4:16:64 (1176 objects) | 7,805,766 | 1176 | 32.34 | 3.12 | 0.12 | 0.05 | 35.63 |
| v1->v2c | desync CDC 16:64:256 (274 objects) | 7,741,036 | 274 | 7.54 | 3.10 | 0.13 | 0.06 | 10.82 |
| v1->v2c | desync CDC 64:256:1024 (79 objects) | 7,867,354 | 79 | 2.17 | 3.15 | 0.17 | 0.06 | 5.55 |
| v1->v3 | full-zstd-19 (1 object) | 8,432,428 | 1 | 0.22 | 3.37 | 8.20 | 0.03 | 11.82 |
| v1->v3 | full-xz-9 (1 object) | 7,706,308 | 1 | 0.22 | 3.08 | 8.17 | 0.21 | 11.68 |
| v1->v3 | zstd-19 (1 object) | 224,693 | 1 | 0.22 | 0.09 | 15.41 | 0.04 | 15.76 |
| v1->v3 | zstd-22-ultra-long31 (1 object) | 224,272 | 1 | 0.22 | 0.09 | 21.21 | 0.04 | 21.56 |
| v1->v3 | zstd-3-long27 (1 object) | 1,729,597 | 1 | 0.22 | 0.69 | 0.07 | 0.04 | 1.02 |
| v1->v3 | xdelta3-9-lzma (1 object) | 355,317 | 1 | 0.22 | 0.14 | 0.94 | 0.06 | 1.36 |
| v1->v3 | bsdiff (1 object) | 64,902 | 1 | 0.22 | 0.03 | 6.12 | 0.10 | 6.47 |
| v1->v3 | hdiffz-m6-zstd21 (1 object) | 79,879 | 1 | 0.22 | 0.03 | 0.98 | 0.01 | 1.24 |
| v1->v3 | hdiffz-s64-zstd21 (1 object) | 921,720 | 1 | 0.22 | 0.37 | 0.77 | 0.03 | 1.39 |
| v1->v3 | desync CDC 4:16:64 (1191 objects) | 7,834,775 | 1191 | 32.75 | 3.13 | 0.11 | 0.05 | 36.05 |
| v1->v3 | desync CDC 16:64:256 (283 objects) | 7,822,019 | 283 | 7.78 | 3.13 | 0.11 | 0.04 | 11.06 |
| v1->v3 | desync CDC 64:256:1024 (78 objects) | 8,183,325 | 78 | 2.15 | 3.27 | 0.16 | 0.04 | 5.62 |
