
## prometheus-3.13.1-3.13.2: old=135,857,317 new=135,899,968 differing=117,314,116 (86.35%) runs=7,094,198 (gap<=8: 95,930) median run=3 B largest unchanged=334,055 unchanged>=64K 0.6% >=256K 0.2% >=1M 0.0%  [1.6s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .text | 42,416,177 | 42,429,777 | 39,979,786 | 94.26% | 1,179,850 | 22,550 |
| .rodata | 19,352,697 | 19,354,777 | 14,199,881 | 73.37% | 1,434,720 | 25,188 |
| .gopclntab | 34,612,073 | 34,621,634 | 27,916,257 | 80.65% | 3,549,703 | 19,814 |
| .typelink | 161,404 | 161,428 | 95,405 | 59.11% | 40,421 | 1 |
| .itablink | 42,488 | 42,512 | 12,829 | 30.19% | 5,313 | 1 |
| .go.buildinfo | 23,280 | 23,280 | 330 | 1.42% | 39 | 12 |
| .go.fipsinfo | 120 | 120 | 48 | 40.00% | 10 | 1 |
| .noptrdata | 589,921 | 589,921 | 7,048 | 1.19% | 2,654 | 517 |
| .data | 345,650 | 345,682 | 61,026 | 17.66% | 25,276 | 8,527 |
| .debug_abbrev | 352 | 352 | 0 | 0.00% | 0 | 0 |
| .debug_line | 5,401,488 | 5,408,517 | 5,379,977 | 99.60% | 21,163 | 12 |
| .debug_frame | 1,301,885 | 1,302,119 | 1,274,834 | 97.92% | 5,635 | 2 |
| .debug_gdb_scripts | 42 | 42 | 0 | 0.00% | 0 | 0 |
| .debug_info | 9,929,066 | 9,934,355 | 9,890,205 | 99.61% | 38,653 | 2 |
| .debug_loclists | 5,736,597 | 5,739,561 | 5,713,901 | 99.60% | 22,485 | 2 |
| .debug_rnglists | 2,089,055 | 2,087,190 | 2,080,811 | 99.61% | 8,191 | 2 |
| .debug_addr | 218,436 | 218,478 | 217,300 | 99.48% | 1,079 | 2 |
| .symtab | 3,234,624 | 3,235,872 | 732,694 | 22.65% | 390,218 | 15,977 |
| .strtab | 10,391,041 | 10,394,180 | 9,749,129 | 93.82% | 368,374 | 3,276 |

## prometheus-3.13.1-3.13.2-stripped: old=97,552,696 new=97,577,304 differing=82,275,269 (84.34%) runs=6,238,411 (gap<=8: 76,646) median run=3 B largest unchanged=334,055 unchanged>=64K 0.6% >=256K 0.3% >=1M 0.0%  [0.5s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .text | 42,416,177 | 42,429,777 | 39,979,786 | 94.26% | 1,179,850 | 22,550 |
| .rodata | 19,352,697 | 19,354,777 | 14,199,881 | 73.37% | 1,434,720 | 25,188 |
| .gopclntab | 34,612,073 | 34,621,634 | 27,916,257 | 80.65% | 3,549,703 | 19,814 |
| .typelink | 161,404 | 161,428 | 95,405 | 59.11% | 40,421 | 1 |
| .itablink | 42,488 | 42,512 | 12,829 | 30.19% | 5,313 | 1 |
| .go.buildinfo | 23,280 | 23,280 | 330 | 1.42% | 39 | 12 |
| .go.fipsinfo | 120 | 120 | 48 | 40.00% | 10 | 1 |
| .noptrdata | 589,921 | 589,921 | 7,048 | 1.19% | 2,654 | 517 |
| .data | 345,650 | 345,682 | 61,026 | 17.66% | 25,276 | 8,527 |

## prometheus-3.13.2-3.14.0: old=135,899,968 new=142,095,522 differing=121,216,282 (89.20%) runs=6,622,744 (gap<=8: 80,706) median run=3 B largest unchanged=63,257 unchanged>=64K 0.0% >=256K 0.0% >=1M 0.0%  [0.8s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .text | 42,429,777 | 43,430,769 | 40,579,825 | 95.64% | 1,144,208 | 11,199 |
| .rodata | 19,354,777 | 20,550,521 | 15,568,123 | 80.44% | 1,108,549 | 34,257 |
| .gopclntab | 34,621,634 | 37,324,308 | 28,828,899 | 83.27% | 3,368,315 | 19,346 |
| .typelink | 161,428 | 171,660 | 114,781 | 71.10% | 40,497 | 1 |
| .itablink | 42,512 | 46,760 | 15,704 | 36.94% | 5,322 | 1 |
| .go.buildinfo | 23,280 | 23,680 | 15,455 | 66.39% | 382 | 33 |
| .go.fipsinfo | 120 | 120 | 61 | 50.83% | 9 | 1 |
| .noptrdata | 589,921 | 605,249 | 525,191 | 89.03% | 30,364 | 1,222 |
| .data | 345,682 | 352,114 | 84,360 | 24.40% | 30,359 | 7,107 |
| .debug_abbrev | 352 | 352 | 0 | 0.00% | 0 | 0 |
| .debug_line | 5,408,517 | 5,538,895 | 5,387,232 | 99.61% | 21,186 | 2 |
| .debug_frame | 1,302,119 | 1,340,994 | 1,296,346 | 99.56% | 5,656 | 5 |
| .debug_gdb_scripts | 42 | 42 | 0 | 0.00% | 0 | 0 |
| .debug_info | 9,934,355 | 10,294,988 | 9,895,715 | 99.61% | 38,440 | 2 |
| .debug_loclists | 5,739,561 | 5,840,082 | 5,716,748 | 99.60% | 22,614 | 4 |
| .debug_rnglists | 2,087,190 | 2,108,065 | 2,078,809 | 99.60% | 8,315 | 2 |
| .debug_addr | 218,478 | 228,164 | 217,290 | 99.46% | 1,124 | 2 |
| .symtab | 3,235,872 | 3,416,832 | 959,622 | 29.66% | 420,058 | 5,517 |
| .strtab | 10,394,180 | 10,812,126 | 9,930,631 | 95.54% | 376,894 | 1,965 |

## prometheus-3.13.2-3.14.0-stripped: old=97,577,304 new=102,514,648 differing=85,733,929 (87.86%) runs=5,728,508 (gap<=8: 73,217) median run=3 B largest unchanged=63,257 unchanged>=64K 0.0% >=256K 0.0% >=1M 0.0%  [0.5s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .text | 42,429,777 | 43,430,769 | 40,579,825 | 95.64% | 1,144,208 | 11,199 |
| .rodata | 19,354,777 | 20,550,521 | 15,568,123 | 80.44% | 1,108,549 | 34,257 |
| .gopclntab | 34,621,634 | 37,324,308 | 28,828,899 | 83.27% | 3,368,315 | 19,346 |
| .typelink | 161,428 | 171,660 | 114,781 | 71.10% | 40,497 | 1 |
| .itablink | 42,512 | 46,760 | 15,704 | 36.94% | 5,322 | 1 |
| .go.buildinfo | 23,280 | 23,680 | 15,455 | 66.39% | 382 | 33 |
| .go.fipsinfo | 120 | 120 | 61 | 50.83% | 9 | 1 |
| .noptrdata | 589,921 | 605,249 | 525,191 | 89.03% | 30,364 | 1,222 |
| .data | 345,682 | 352,114 | 84,360 | 24.40% | 30,359 | 7,107 |

## kube-apiserver-1.36.3-1.36.4: old=88,387,746 new=88,436,898 differing=69,490,917 (78.62%) runs=5,766,047 (gap<=8: 150,096) median run=3 B largest unchanged=903,339 unchanged>=64K 1.2% >=256K 1.0% >=1M 0.0%  [0.5s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .text | 42,289,201 | 42,306,417 | 34,747,745 | 82.17% | 1,096,484 | 72,711 |
| .rodata | 12,649,465 | 12,657,529 | 8,817,675 | 69.71% | 1,131,459 | 43,787 |
| .gopclntab | 32,403,861 | 32,425,872 | 25,530,068 | 78.79% | 3,459,180 | 23,929 |
| .typelink | 119,404 | 119,464 | 75,826 | 63.50% | 29,897 | 2 |
| .itablink | 42,784 | 42,816 | 13,554 | 31.68% | 5,349 | 1 |
| .go.buildinfo | 5,872 | 5,872 | 58 | 0.99% | 15 | 10 |
| .go.fipsinfo | 120 | 120 | 54 | 45.00% | 10 | 1 |
| .noptrdata | 579,329 | 579,361 | 258,628 | 44.64% | 25,204 | 1,821 |
| .data | 287,730 | 287,922 | 44,584 | 15.50% | 18,024 | 7,786 |

## terraform-1.15.8-1.15.9: old=117,289,144 new=117,838,008 differing=101,775,667 (86.77%) runs=7,576,102 (gap<=8: 97,245) median run=3 B largest unchanged=66,194 unchanged>=64K 0.1% >=256K 0.0% >=1M 0.0%  [0.6s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .text | 55,987,601 | 56,298,929 | 52,858,622 | 94.41% | 1,742,199 | 21,806 |
| .rodata | 22,668,857 | 22,992,953 | 15,737,639 | 69.42% | 2,404,129 | 55,774 |
| .typelink | 170,280 | 170,884 | 114,207 | 67.07% | 42,696 | 1 |
| .itablink | 84,160 | 84,560 | 30,467 | 36.20% | 10,531 | 1 |
| .gopclntab | 35,983,552 | 36,155,296 | 31,164,341 | 86.61% | 3,259,170 | 12,427 |
| .go.buildinfo | 25,248 | 25,248 | 1,356 | 5.37% | 91 | 30 |
| .go.fipsinfo | 120 | 120 | 55 | 45.83% | 10 | 1 |
| .noptrdata | 1,743,361 | 1,487,521 | 1,614,203 | 92.59% | 47,731 | 1,493 |
| .data | 616,618 | 616,202 | 252,172 | 40.90% | 68,894 | 5,615 |

## cockroach-26.2.4-26.2.5: old=326,021,464 new=326,116,488 differing=268,370,451 (82.32%) runs=16,322,945 (gap<=8: 466,092) median run=3 B largest unchanged=2,440,673 unchanged>=64K 1.8% >=256K 1.7% >=1M 1.4%  [2.7s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .dynsym | 125,904 | 125,904 | 13,005 | 10.33% | 4,985 | 4,985 |
| .dynstr | 127,904 | 127,904 | 0 | 0.00% | 0 | 0 |
| .rela.dyn | 240 | 240 | 22 | 9.17% | 10 | 10 |
| .rela.plt | 5,976 | 5,976 | 498 | 8.33% | 249 | 249 |
| .plt | 4,000 | 4,000 | 502 | 12.55% | 251 | 249 |
| .text | 105,568,983 | 105,607,063 | 88,126,210 | 83.48% | 2,997,744 | 159,205 |
| .rodata | 41,409,512 | 41,426,568 | 26,833,173 | 64.80% | 4,655,663 | 118,320 |
| .typelink | 245,440 | 245,508 | 157,414 | 64.14% | 58,976 | 1 |
| .itablink | 127,248 | 127,248 | 41,308 | 32.46% | 15,906 | 1 |
| .gopclntab | 71,625,832 | 71,647,056 | 60,864,120 | 84.98% | 5,837,737 | 19,773 |
| .eh_frame_hdr | 49,260 | 49,260 | 15,872 | 32.22% | 6,156 | 1 |
| .eh_frame | 322,380 | 322,380 | 15,824 | 4.91% | 6,162 | 6,158 |
| .data.rel.ro | 6,104 | 6,104 | 1,436 | 23.53% | 532 | 180 |
| .data | 2,433,736 | 2,433,896 | 403,705 | 16.59% | 167,252 | 56,566 |
| .go.buildinfo | 48 | 48 | 0 | 0.00% | 0 | 0 |
| .go.fipsinfo | 120 | 120 | 58 | 48.33% | 9 | 1 |
| .noptrdata | 8,128,097 | 8,119,457 | 6,930,196 | 85.26% | 474,568 | 17,468 |
| .debug_aranges | 3,749 | 3,780 | 3,697 | 98.61% | 27 | 1 |
| .debug_info | 22,053,846 | 22,055,657 | 21,965,992 | 99.60% | 87,202 | 5 |
| .debug_abbrev | 19,098 | 19,098 | 0 | 0.00% | 0 | 0 |
| .debug_line | 13,899,150 | 13,908,798 | 13,843,353 | 99.60% | 55,397 | 2 |
| .debug_frame | 2,491,397 | 2,492,553 | 2,070,417 | 83.10% | 9,817 | 29 |
| .debug_str | 131,736 | 131,736 | 129,813 | 98.54% | 622 | 15 |
| .debug_loc | 471,492 | 471,365 | 469,523 | 99.58% | 1,923 | 1 |
| .debug_ranges | 85,088 | 85,157 | 84,650 | 99.49% | 406 | 1 |
| .debug_macro | 65,074 | 65,086 | 64,554 | 99.20% | 423 | 1 |
| .debug_addr | 467,541 | 467,587 | 464,626 | 99.38% | 2,814 | 2 |
| .debug_gdb_scripts | 35 | 35 | 0 | 0.00% | 0 | 0 |
| .debug_loclists | 12,943,044 | 12,949,395 | 12,890,122 | 99.59% | 52,018 | 14 |
| .debug_rnglists | 5,934,050 | 5,937,821 | 5,909,347 | 99.58% | 24,207 | 5 |
| .symtab | 8,324,184 | 8,325,840 | 1,642,545 | 19.73% | 888,209 | 72,539 |
| .strtab | 28,886,989 | 28,892,336 | 25,421,812 | 88.00% | 973,447 | 10,286 |

## cockroach-26.2.4-26.2.5-stripped: old=230,243,816 new=230,309,064 differing=183,409,004 (79.66%) runs=14,226,447 (gap<=8: 383,194) median run=3 B largest unchanged=2,440,673 unchanged>=64K 1.1% >=256K 1.1% >=1M 1.1%  [1.2s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .dynsym | 125,904 | 125,904 | 13,005 | 10.33% | 4,985 | 4,985 |
| .dynstr | 127,904 | 127,904 | 0 | 0.00% | 0 | 0 |
| .rela.dyn | 240 | 240 | 22 | 9.17% | 10 | 10 |
| .rela.plt | 5,976 | 5,976 | 498 | 8.33% | 249 | 249 |
| .plt | 4,000 | 4,000 | 502 | 12.55% | 251 | 249 |
| .text | 105,568,983 | 105,607,063 | 88,126,210 | 83.48% | 2,997,744 | 159,205 |
| .rodata | 41,409,512 | 41,426,568 | 26,833,173 | 64.80% | 4,655,663 | 118,320 |
| .typelink | 245,440 | 245,508 | 157,414 | 64.14% | 58,976 | 1 |
| .itablink | 127,248 | 127,248 | 41,308 | 32.46% | 15,906 | 1 |
| .gopclntab | 71,625,832 | 71,647,056 | 60,864,120 | 84.98% | 5,837,737 | 19,773 |
| .eh_frame_hdr | 49,260 | 49,260 | 15,872 | 32.22% | 6,156 | 1 |
| .eh_frame | 322,380 | 322,380 | 15,824 | 4.91% | 6,162 | 6,158 |
| .data.rel.ro | 6,104 | 6,104 | 1,436 | 23.53% | 532 | 180 |
| .data | 2,433,736 | 2,433,896 | 403,705 | 16.59% | 167,252 | 56,566 |
| .go.buildinfo | 48 | 48 | 0 | 0.00% | 0 | 0 |
| .go.fipsinfo | 120 | 120 | 58 | 48.33% | 9 | 1 |
| .noptrdata | 8,128,097 | 8,119,457 | 6,930,196 | 85.26% | 474,568 | 17,468 |

## vault-2.0.3-2.0.4: old=536,903,029 new=537,754,780 differing=466,509,714 (86.89%) runs=27,905,054 (gap<=8: 716,380) median run=4 B largest unchanged=701,409 unchanged>=64K 0.1% >=256K 0.1% >=1M 0.0%  [3.9s]
| section | old size | new size | differing | % | runs | runs (gap<=8) |
|---|---:|---:|---:|---:|---:|---:|
| .text | 158,878,865 | 159,148,337 | 149,952,226 | 94.38% | 4,410,555 | 124,504 |
| .rodata | 94,880,697 | 94,992,985 | 70,320,416 | 74.11% | 6,463,468 | 378,541 |
| .gopclntab | 135,200,297 | 135,404,350 | 113,400,186 | 83.88% | 12,779,581 | 57,434 |
| .typelink | 857,156 | 857,692 | 617,712 | 72.07% | 164,038 | 29 |
| .itablink | 148,440 | 148,704 | 54,238 | 36.54% | 18,562 | 1 |
| .go.buildinfo | 48,560 | 48,624 | 18,465 | 38.03% | 302 | 3 |
| .go.fipsinfo | 120 | 120 | 59 | 49.17% | 9 | 1 |
| .noptrdata | 1,397,825 | 1,398,305 | 1,022,820 | 73.17% | 125,936 | 5,514 |
| .data | 1,754,978 | 1,758,882 | 459,273 | 26.17% | 153,365 | 44,410 |
| .debug_abbrev | 352 | 352 | 0 | 0.00% | 0 | 0 |
| .debug_line | 15,813,668 | 15,857,409 | 15,751,393 | 99.61% | 61,840 | 4 |
| .debug_frame | 4,159,926 | 4,169,236 | 4,135,066 | 99.40% | 19,162 | 37 |
| .debug_gdb_scripts | 63 | 63 | 1 | 1.59% | 1 | 1 |
| .debug_info | 35,796,487 | 35,849,018 | 35,656,132 | 99.61% | 139,633 | 2 |
| .debug_loclists | 16,509,836 | 16,547,098 | 16,442,975 | 99.60% | 65,121 | 48 |
| .debug_rnglists | 4,822,814 | 4,850,166 | 4,802,827 | 99.59% | 19,550 | 3 |
