### Patch size (bytes) per pair and method

| pair | NEW size | bsdiff | hdiffz-m6 | hdiffz-m6-p8 | hdiffz-s64 | zstd-19 | zstd-19-T0 | xdelta3-9-lzma | full-zstd-19 | full-zstd-19-T0 |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| F2.v1-v5 | 29,561,097 | 470,031 | 572,895 | 573,285 | 3,445,605 | 1,758,395 | 1,758,395 | 2,721,791 | 8,433,714 | 8,433,714 |
| F2.v4-v5 | 29,561,097 | 470,743 | 578,505 | 579,001 | 3,445,613 | 1,755,495 | 1,755,495 | 2,723,865 | 8,433,714 | 8,433,714 |
| kube-apiserver-1.36.3-1.36.4 | 88,436,898 | 2,060,250 | 2,366,695 | 2,367,788 | 10,388,211 | 7,078,385 | 7,078,385 | 10,044,293 | 19,072,059 | 19,072,059 |
| prometheus-3.13.1-3.13.2-stripped | 97,577,304 | 2,714,204 | 2,732,978 | 2,730,887 | 11,390,472 | 8,279,163 | 8,279,163 | 11,256,241 | 23,808,116 | 23,808,116 |
| prometheus-3.13.2-3.14.0-stripped | 102,514,648 | 9,808,003 | 8,599,007 | 8,593,347 | 16,225,396 | 13,425,596 | 13,425,596 | 17,343,600 | 24,326,673 | 24,326,673 |
| terraform-1.15.8-1.15.9 | 117,838,008 | 5,427,575 | 4,918,933 | 4,913,545 | 14,826,573 | 11,320,635 | 11,320,635 | 15,065,548 | 25,547,524 | 25,547,524 |
| prometheus-3.13.1-3.13.2 | 135,899,968 | 28,108,743 | 27,879,860 | 27,879,870 | 36,544,395 | 33,438,259 | 33,438,259 | 37,570,665 | 49,598,993 | 49,598,993 |
| prometheus-3.13.2-3.14.0 | 142,095,522 | 36,068,700 | 34,677,348 | 34,665,529 | 42,108,809 | 39,287,096 | 39,287,096 | 42,730,327 | 50,819,527 | 50,819,527 |
| cockroach-26.2.4-26.2.5-stripped | 230,309,064 | 8,588,309 | 9,455,199 | 9,457,347 | 29,454,522 | - | 23,782,446 | 29,435,656 | - | 58,377,272 |
| cockroach-26.2.4-26.2.5 | 326,116,488 | 67,624,518 | 67,792,784 | 67,827,098 | 88,406,171 | - | 82,710,339 | 86,462,021 | - | 119,699,162 |
| vault-2.0.3-2.0.4-stripped | 393,769,576 | 12,108,972 | 11,752,681 | 11,787,185 | 40,451,947 | - | 36,507,981 | 44,822,809 | - | 67,677,354 |
| vault-2.0.3-2.0.4 | 537,754,780 | ERR | 91,132,633 | 91,148,620 | 119,765,773 | - | 115,826,792 | 126,749,351 | - | 149,329,950 |

### Patch size as % of the full `zstd -19 -T0` download

| pair | full B | bsdiff | hdiffz-m6 | hdiffz-m6-p8 | hdiffz-s64 | zstd-19 | zstd-19-T0 | xdelta3-9-lzma |
|---|---:|---:|---:|---:|---:|---:|---:|---:|
| F2.v1-v5 | 8,433,714 | 5.6% | 6.8% | 6.8% | 40.9% | 20.8% | 20.8% | 32.3% |
| F2.v4-v5 | 8,433,714 | 5.6% | 6.9% | 6.9% | 40.9% | 20.8% | 20.8% | 32.3% |
| kube-apiserver-1.36.3-1.36.4 | 19,072,059 | 10.8% | 12.4% | 12.4% | 54.5% | 37.1% | 37.1% | 52.7% |
| prometheus-3.13.1-3.13.2-stripped | 23,808,116 | 11.4% | 11.5% | 11.5% | 47.8% | 34.8% | 34.8% | 47.3% |
| prometheus-3.13.2-3.14.0-stripped | 24,326,673 | 40.3% | 35.3% | 35.3% | 66.7% | 55.2% | 55.2% | 71.3% |
| terraform-1.15.8-1.15.9 | 25,547,524 | 21.2% | 19.3% | 19.2% | 58.0% | 44.3% | 44.3% | 59.0% |
| prometheus-3.13.1-3.13.2 | 49,598,993 | 56.7% | 56.2% | 56.2% | 73.7% | 67.4% | 67.4% | 75.7% |
| prometheus-3.13.2-3.14.0 | 50,819,527 | 71.0% | 68.2% | 68.2% | 82.9% | 77.3% | 77.3% | 84.1% |
| cockroach-26.2.4-26.2.5-stripped | 58,377,272 | 14.7% | 16.2% | 16.2% | 50.5% | - | 40.7% | 50.4% |
| cockroach-26.2.4-26.2.5 | 119,699,162 | 56.5% | 56.6% | 56.7% | 73.9% | - | 69.1% | 72.2% |
| vault-2.0.3-2.0.4-stripped | 67,677,354 | 17.9% | 17.4% | 17.4% | 59.8% | - | 53.9% | 66.2% |
| vault-2.0.3-2.0.4 | 149,329,950 | - | 61.0% | 61.0% | 80.2% | - | 77.6% | 84.9% |

### Encode / apply wall time (s, min of reps) and peak RSS (MB, max of reps)

| pair | method | patch B | enc s | enc RSS MB | apply s | apply RSS MB | reps | verified |
|---|---|---:|---:|---:|---:|---:|---:|---|
| F2.v1-v5 | bsdiff | 470,031 | 9.52 | 255 | 0.18 | 62 | 3 | True |
| F2.v1-v5 | hdiffz-m6 | 572,895 | 3.07 | 126 | 0.02 | 13 | 3 | True |
| F2.v1-v5 | hdiffz-m6-p8 | 573,285 | 1.50 | 129 | 0.01 | 13 | 3 | True |
| F2.v1-v5 | hdiffz-s64 | 3,445,605 | 3.16 | 211 | 0.09 | 23 | 3 | True |
| F2.v1-v5 | zstd-19 | 1,758,395 | 18.50 | 160 | 0.04 | 60 | 3 | True |
| F2.v1-v5 | zstd-19-T0 | 1,758,395 | 14.94 | 160 | 0.03 | 60 | 3 | True |
| F2.v1-v5 | xdelta3-9-lzma | 2,721,791 | 3.41 | 316 | 0.12 | 52 | 3 | True |
